URL,Date,Home Plate Umpire
https://texaslonghorns.com/sports/softball/stats/2024/kansas/boxscore/16134,4/20/2024,Jerry R. Jones
https://lamarcardinals.com/sports/softball/stats/2024/incarnate-word/boxscore/24214,4/20/2024,Matthew Clifford
https://ulmwarhawks.com/sports/softball/stats/2024/texas-state/boxscore/15195,4/20/2024,Eddie Bourn
https://nmstatesports.com/sports/softball/stats/2024/liberty/boxscore/17547,4/20/2024,Mark Wilson
https://geauxcolonels.com/sports/softball/stats/2024/southeastern/boxscore/10023,4/20/2024,Silverio Razo
https://hcuhuskies.com/sports/softball/stats/2024/mcneese/boxscore/5810,4/20/2024,Tony Dixon
https://mcneesesports.com/sports/softball/stats/2024/houston-christian/boxscore/12467,4/20/2024,Greg Chargualaf
https://mcneesesports.com/sports/softball/stats/2024/houston-christian/boxscore/12466,4/20/2024,Tony Dixon
https://uiwcardinals.com/sports/softball/stats/2024/lamar-university/boxscore/6738,4/20/2024,Matthew Clifford
https://hcuhuskies.com/sports/softball/stats/2024/mcneese/boxscore/5809,4/19/2024,Todd Sharpe
https://uiwcardinals.com/sports/softball/stats/2024/lamar-university/boxscore/6736,4/19/2024,Nikos Williams
https://geauxcolonels.com/sports/softball/stats/2024/southeastern/boxscore/10022,4/19/2024,Hoy Cooke
https://geauxcolonels.com/sports/softball/stats/2024/southeastern/boxscore/10021,4/19/2024,Coin Schnauder
https://ulmwarhawks.com/sports/softball/stats/2024/texas-state/boxscore/15193,4/19/2024,Michael Thibodeaux
https://texaslonghorns.com/sports/softball/stats/2024/kansas/boxscore/16133,4/19/2024,Naomi Erdahl
https://lamarcardinals.com/sports/softball/stats/2024/incarnate-word/boxscore/24213,4/19/2024,Jason Jones
https://acusports.com/sports/softball/stats/2024/ut-arlington/boxscore/9282,4/19/2024,Jared Arrington
https://lamarcardinals.com/sports/softball/stats/2024/incarnate-word/boxscore/24212,4/19/2024,Nikos Williams
https://nsudemons.com/sports/softball/stats/2024/texas-am-commerce/boxscore/13645,4/19/2024,Hayes Lesher
https://acusports.com/sports/softball/stats/2024/ut-arlington/boxscore/9280,4/19/2024,Johnny Paz
https://utepminers.com/sports/softball/stats/2024/la-tech/boxscore/11541,4/19/2024,David Wooley
https://uiwcardinals.com/sports/softball/stats/2024/lamar-university/boxscore/6737,4/19/2024,Jason Jones
https://tarletonsports.com/sports/softball/stats/2024/utah-tech/boxscore/6550,4/19/2024,Trey Collins
https://nmstatesports.com/sports/softball/stats/2024/liberty/boxscore/17546,4/19/2024,Mike McCorkle
https://ulmwarhawks.com/sports/softball/stats/2024/texas-state/boxscore/15194,4/19/2024,Jana Tidwell
https://lionsports.net/sports/softball/stats/2024/nicholls/boxscore/8671,4/19/2024,Hoy Cooke
https://tarletonsports.com/sports/softball/stats/2024/utah-tech/boxscore/6548,4/19/2024,Scott Brians
https://mcneesesports.com/sports/softball/stats/2024/houston-christian/boxscore/12465,4/19/2024,Todd Sharpe
https://nsudemons.com/sports/softball/stats/2024/texas-am-commerce/boxscore/13646,4/19/2024,Stanley Kerry
https://lionsports.net/sports/softball/stats/2024/nicholls/boxscore/8670,4/19/2024,Coin Schnauder
https://geauxcolonels.com/sports/softball/stats/2024/no-19-louisiana/boxscore/10019,4/17/2024,Michael Thibodeaux
https://ulmwarhawks.com/sports/softball/stats/2024/grambling-state/boxscore/15192,4/17/2024,Allen Lunceford
https://mcneesesports.com/sports/softball/stats/2024/sam-houston/boxscore/12464,4/17/2024,Nikos Williams
https://tsusports.com/sports/softball/stats/2024/tarleton-state/boxscore/5193,4/16/2024,Tatem Stoelting
https://nmstatesports.com/sports/softball/stats/2024/new-mexico/boxscore/17545,4/16/2024,Steven Gurule
https://tarletonsports.com/sports/softball/stats/2024/texas-southern/boxscore/6711,4/16/2024,Tatem Stoelting
https://tsusports.com/sports/softball/stats/2024/tarleton-state/boxscore/5192,4/16/2024,Kenneth Rice
https://hcuhuskies.com/sports/softball/stats/2024/sam-houston/boxscore/5808,4/16/2024,Jeff Dubrow
https://uiwcardinals.com/sports/softball/stats/2024/prairie-view-am-university/boxscore/6732,4/16/2024,Walter Hill
https://tarletonsports.com/sports/softball/stats/2024/texas-southern/boxscore/6712,4/16/2024,Kenneth Rice
https://lamarcardinals.com/sports/softball/stats/2024/houston/boxscore/24211,4/16/2024,Robert Gonzalez
https://nmstatesports.com/sports/softball/stats/2024/fiu/boxscore/17544,4/14/2024,Eric Lovato
https://uiwcardinals.com/sports/softball/stats/2024/santa-clara-university/boxscore/6735,4/14/2024,Greg Chargualaf
https://utepminers.com/sports/softball/stats/2024/sam-houston/boxscore/11540,4/14/2024,MICHAEL AGUIRRE
https://texaslonghorns.com/sports/softball/stats/2024/baylor/boxscore/16132,4/14/2024,Frederick C. Ewald
https://geauxcolonels.com/sports/softball/stats/2024/hcu/boxscore/10018,4/13/2024,Kevin Petry
https://texaslonghorns.com/sports/softball/stats/2024/baylor/boxscore/16131,4/13/2024,Laura B. King
https://utepminers.com/sports/softball/stats/2024/sam-houston/boxscore/11539,4/13/2024,Ray Hernandez
https://tarletonsports.com/sports/softball/stats/2024/grand-canyon/boxscore/6552,4/13/2024,Jamie Wood
https://uiwcardinals.com/sports/softball/stats/2024/santa-clara-university/boxscore/6733,4/13/2024,Greg Chargualaf
https://hcuhuskies.com/sports/softball/stats/2024/nicholls/boxscore/5807,4/13/2024,Kevin Petry
https://nmstatesports.com/sports/softball/stats/2024/fiu/boxscore/17543,4/13/2024,Corey Carter
https://nsudemons.com/sports/softball/stats/2024/southeastern-louisiana/boxscore/13643,4/13/2024,Todd Sharpe
https://ulmwarhawks.com/sports/softball/stats/2024/troy/boxscore/15191,4/13/2024,Henry Hill
https://lionsports.net/sports/softball/stats/2024/northwestern-state/boxscore/8669,4/13/2024,Todd Sharpe
https://goislanders.com/sports/softball/stats/2024/lamar/boxscore/7616,4/13/2024,Johnny Paz
https://ulmwarhawks.com/sports/softball/stats/2024/troy/boxscore/15190,4/13/2024,Brian Soule
https://lamarcardinals.com/sports/softball/stats/2024/texas-am-corpus-christi/boxscore/24210,4/13/2024,Johnny Paz
https://uiwcardinals.com/sports/softball/stats/2024/santa-clara-university/boxscore/6734,4/13/2024,Greg Chargualaf
https://mcneesesports.com/sports/softball/stats/2024/texas-am-commerce/boxscore/12463,4/13/2024,Shev Pinchback
https://geauxcolonels.com/sports/softball/stats/2024/hcu/boxscore/10016,4/12/2024,Matthew Clifford
https://tarletonsports.com/sports/softball/stats/2024/grand-canyon/boxscore/6553,4/12/2024,Matt Johnson
https://lionsports.net/sports/softball/stats/2024/northwestern-state/boxscore/8668,4/12/2024,Hoy Cooke
https://goislanders.com/sports/softball/stats/2024/lamar/boxscore/7615,4/12/2024,Siverio Razo
https://nsudemons.com/sports/softball/stats/2024/southeastern-louisiana/boxscore/13642,4/12/2024,Hoy Cooke
https://mcneesesports.com/sports/softball/stats/2024/texas-am-commerce/boxscore/12461,4/12/2024,Jack Krauser
https://nsudemons.com/sports/softball/stats/2024/southeastern-louisiana/boxscore/13641,4/12/2024,Gerald Newton
https://geauxcolonels.com/sports/softball/stats/2024/hcu/boxscore/10017,4/12/2024,Stanley Kerry
https://lionsports.net/sports/softball/stats/2024/northwestern-state/boxscore/8667,4/12/2024,Gerald Newton
https://ulmwarhawks.com/sports/softball/stats/2024/troy/boxscore/15189,4/12/2024,Jay Davis
https://utepminers.com/sports/softball/stats/2024/sam-houston/boxscore/11538,4/12/2024,Hector Torres 
https://hcuhuskies.com/sports/softball/stats/2024/nicholls/boxscore/5805,4/12/2024,Matthew Clifford
https://tarletonsports.com/sports/softball/stats/2024/grand-canyon/boxscore/6555,4/12/2024,Anthony Lewis
https://goislanders.com/sports/softball/stats/2024/lamar/boxscore/7614,4/12/2024,David Wooley
https://nmstatesports.com/sports/softball/stats/2024/fiu/boxscore/17542,4/12/2024,Shawn Mowdy
https://lamarcardinals.com/sports/softball/stats/2024/texas-am-corpus-christi/boxscore/24209,4/12/2024,Siverio Razo
https://lamarcardinals.com/sports/softball/stats/2024/texas-am-corpus-christi/boxscore/24208,4/12/2024,David Wooley
https://hcuhuskies.com/sports/softball/stats/2024/nicholls/boxscore/5806,4/12/2024,Stanley Kerry
https://texaslonghorns.com/sports/softball/stats/2024/baylor/boxscore/16130,4/12/2024,Christina Drumm
https://mcneesesports.com/sports/softball/stats/2024/texas-am-commerce/boxscore/12462,4/12/2024,Daniel Usrey
https://texaslonghorns.com/sports/softball/stats/2024/texas-state/boxscore/16129,4/10/2024,Brian M. Crochet
https://lionsports.net/sports/softball/stats/2024/lsu/boxscore/8649,4/10/2024,Laura King
https://msuspartans.com/sports/softball/stats/2024/western-michigan/boxscore/17778,4/10/2024,Ryan Grandt
https://nmstatesports.com/sports/softball/stats/2024/arizona/boxscore/17561,4/9/2024,Michael Aguirre
https://nmstatesports.com/sports/softball/stats/2024/arizona/boxscore/17541,4/9/2024,Willie Newman
https://texaslonghorns.com/sports/softball/stats/2024/oklahoma/boxscore/16128,4/7/2024,Dustin Douglass
https://ulmwarhawks.com/sports/softball/stats/2024/georgia-southern/boxscore/15187,4/7/2024,Robert Johnson
https://utepminers.com/sports/softball/stats/2024/fiu/boxscore/11537,4/7/2024,Brandon Jacobson
https://nmstatesports.com/sports/softball/stats/2024/jacksonville-state/boxscore/17540,4/7/2024,Thomas Bills
https://nmstatesports.com/sports/softball/stats/2024/jacksonville-state/boxscore/17539,4/6/2024,Darryl Sanders
https://lionsports.net/sports/softball/stats/2024/texas-am-corpus-christi/boxscore/8666,4/6/2024,Greg Chargualaf
https://geauxcolonels.com/sports/softball/stats/2024/texas-am-commerce/boxscore/10014,4/6/2024,Daryl Francis
https://lamarcardinals.com/sports/softball/stats/2024/mcneese/boxscore/24207,4/6/2024,Dennis Strang
https://uiwcardinals.com/sports/softball/stats/2024/houston-christian-university/boxscore/6730,4/6/2024,Paul Bosshardt
https://goislanders.com/sports/softball/stats/2024/southeastern-louisiana/boxscore/7613,4/6/2024,Greg Chargualaf
https://lamarcardinals.com/sports/softball/stats/2024/mcneese/boxscore/24206,4/6/2024,Matthew Clifford
https://mcneesesports.com/sports/softball/stats/2024/lamar/boxscore/12460,4/6/2024,Dennis Strang
https://ulmwarhawks.com/sports/softball/stats/2024/georgia-southern/boxscore/15186,4/6/2024,Adrienne Barnes
https://mcneesesports.com/sports/softball/stats/2024/lamar/boxscore/12459,4/6/2024,Matthew Clifford
https://hcuhuskies.com/sports/softball/stats/2024/uiw/boxscore/5803,4/6/2024,Paul Bosshardt
https://texaslonghorns.com/sports/softball/stats/2024/oklahoma/boxscore/16127,4/6/2024,Robert M. Gonzalez
https://utepminers.com/sports/softball/stats/2024/fiu/boxscore/11536,4/6/2024,Carl Fisher
https://mcneesesports.com/sports/softball/stats/2024/lamar/boxscore/12458,4/5/2024,Chad Derouen
https://goislanders.com/sports/softball/stats/2024/southeastern-louisiana/boxscore/7611,4/5/2024,George De La Cruz
https://geauxcolonels.com/sports/softball/stats/2024/texas-am-commerce/boxscore/10013,4/5/2024,Stanley Kerry
https://lionsports.net/sports/softball/stats/2024/texas-am-corpus-christi/boxscore/8664,4/5/2024,George De La Cruz
https://geauxcolonels.com/sports/softball/stats/2024/texas-am-commerce/boxscore/10012,4/5/2024,Todd Sharpe
https://utepminers.com/sports/softball/stats/2024/fiu/boxscore/11535,4/5/2024,Edwin Riggan
https://nmstatesports.com/sports/softball/stats/2024/jacksonville-state/boxscore/17538,4/5/2024,Ken Allen
https://goislanders.com/sports/softball/stats/2024/southeastern-louisiana/boxscore/7612,4/5/2024,Stephen Maloy
https://lionsports.net/sports/softball/stats/2024/texas-am-corpus-christi/boxscore/8665,4/5/2024,Stephen Maloy
https://lamarcardinals.com/sports/softball/stats/2024/mcneese/boxscore/24205,4/5/2024,Chad Derouen
https://texaslonghorns.com/sports/softball/stats/2024/oklahoma/boxscore/16126,4/5/2024,Mike Burwell
https://ulmwarhawks.com/sports/softball/stats/2024/georgia-southern/boxscore/15185,4/5/2024,Jana Tidwell
https://geauxcolonels.com/sports/softball/stats/2024/southern-miss/boxscore/10011,4/3/2024,Laura King
https://acusports.com/sports/softball/stats/2024/texas-tech-university/boxscore/9273,4/3/2024,Joshua Forburger
https://mcneesesports.com/sports/softball/stats/2024/florida-state/boxscore/12457,4/3/2024,Stan Cook\
https://hcuhuskies.com/sports/softball/stats/2024/houston/boxscore/5801,4/2/2024,John Reinhart
https://lamarcardinals.com/sports/softball/stats/2024/utsa/boxscore/24204,4/2/2024,Matthew Clifford
https://lionsports.net/sports/softball/stats/2024/jackson-state/boxscore/8662,4/2/2024,Colin Schnauder
https://lionsports.net/sports/softball/stats/2024/jackson-state/boxscore/8663,4/2/2024,Allen Lunceford
https://mcneesesports.com/sports/softball/stats/2024/florida-state/boxscore/12456,4/2/2024,Danny Slaughter
https://ulmwarhawks.com/sports/softball/stats/2024/lsu/boxscore/15184,4/2/2024,Clarence Bourn
https://texaslonghorns.com/sports/softball/stats/2024/oklahoma-state/boxscore/16125,3/30/2024,Terry Holt
